id,Type,fixed acidity,volatile acidity,"citric 
acid",residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
id1594,red,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5
id1595,white,6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8,6
id1596,white,6.2,0.24,0.35,1.2,0.038,22,167,0.9912,3.1,0.48,10.6,6
id1597,red,9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7
id1598,white,6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
id1599,red,8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,7
id1600,red,10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5
id1601,white,8.1,0.2,0.49,8.1,0.051,51,205,0.9954,3.1,0.52,11,6
id1602,red,8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,5
id1603,white,6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,6
id1604,white,5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,8
id1605,white,7.8,0.42,0.26,9.2,0.058,34,199,0.9972,3.14,0.55,9.3,6
id1606,red,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
id1607,white,7.4,0.37,0.35,5.7,0.061,12,94,0.9965,3.48,0.69,10.7,6
id1608,white,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6
id1609,white,6.4,0.3,0.36,2,0.052,18,141,0.99273,3.38,0.53,10.5,6
id1610,white,7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,7
id1611,white,8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
id1612,red,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
id1613,white,5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,5
id1614,red,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
id1615,white,7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
id1616,white,6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,6
id1617,white,6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5
id1618,red,7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5
id1619,white,6.4,0.26,0.3,2.2,0.025,33,134,0.992,3.21,0.47,10.6,6
id1620,red,10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6
id1621,red,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6
id1622,white,6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
id1623,white,7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5
id1624,red,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5
id1625,red,7,0.42,0.19,2.3,0.071,18,36,0.99476,3.39,0.56,10.9,5
id1626,white,8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,6
id1627,white,6.9,0.29,0.25,12.2,0.04,29,136,0.99552,3.05,0.65,10.4,6
id1628,white,4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7
id1629,red,7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6
id1630,red,9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,6
id1631,white,7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,7
id1632,red,9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,5
id1633,white,6.8,0.16,0.18,1.8,0.046,31,114,0.99226,3.27,0.55,10.8,6
id1634,white,6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3,6
id1635,white,7.1,0.23,0.24,5.4,0.039,60,196,0.9948,3.19,0.78,10,4
id1636,white,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5
id1637,white,7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,5
id1638,red,7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5
id1639,white,6.3,0.17,0.42,2.8,0.028,45,107,0.9908,3.27,0.43,11.8,6
id1640,white,6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6
id1641,red,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
id1642,white,7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,5
id1643,white,6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,5
id1644,red,7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5
id1645,white,5.9,0.22,0.18,6.4,0.041,28,120,0.99403,3.27,0.5,9.9,5
id1646,white,7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7
id1647,white,7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7
id1648,white,6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,5
id1649,white,6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,6
id1650,white,6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,7
id1651,red,7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6
id1652,red,12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6
id1653,white,7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2,6
id1654,white,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,4
id1655,red,11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7
id1656,red,9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5
id1657,white,5.9,0.435,0.16,6.4,0.031,21,134,0.99151,3.24,0.46,12.2,6
id1658,white,6.9,0.29,0.41,7.8,0.046,52,171,0.99537,3.12,0.51,9.6,5
id1659,white,7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10,5
id1660,red,10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6
id1661,white,6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5
id1662,red,7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5
id1663,white,6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11,3
id1664,white,6.6,0.29,0.39,6.75,0.031,22,98,0.9913,3.15,0.8,12.9,7
id1665,white,8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,7
id1666,red,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
id1667,red,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5
id1668,white,6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6
id1669,white,6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6
id1670,white,7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6
id1671,white,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
id1672,white,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
id1673,white,7.3,0.26,0.24,1.7,0.05,10,112,0.99286,3.11,0.43,9.9,5
id1674,white,7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,6
id1675,white,6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6
id1676,white,5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,4
id1677,red,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5
id1678,red,7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7
id1679,white,7.6,0.4,0.27,1.2,0.053,23,193,0.99164,3.22,0.38,11.6,5
id1680,white,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
id1681,white,7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7
id1682,red,8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6
id1683,red,9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,5
id1684,white,6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6
id1685,white,5.9,0.25,0.24,7.4,0.044,21,113,0.99462,3.38,0.58,10.5,6
id1686,white,6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6
id1687,white,7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5
id1688,white,5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8
id1689,white,7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,6
id1690,white,7.2,0.27,0.31,1.2,0.031,27,80,0.98892,3.03,0.33,12.7,6
id1691,white,6.1,0.16,0.37,1.1,0.031,37,97,0.9922,3.4,0.58,10.5,6
id1692,white,6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4,6
id1693,red,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6
id1694,white,6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,6
id1695,white,6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,7
id1696,white,8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,6
id1697,red,7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,6
id1698,red,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
id1699,red,5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6
id1700,red,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
id1701,white,8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6
id1702,white,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7
id1703,white,6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4
id1704,red,7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5
id1705,white,6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
id1706,red,7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6
id1707,red,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
id1708,white,5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5
id1709,red,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
id1710,white,7.9,0.33,0.26,1.2,0.044,23,103,0.9932,3.19,0.54,10.5,6
id1711,white,7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6
id1712,red,8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7
id1713,white,9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,6
id1714,white,6.7,0.2,0.41,9.1,0.044,50,166,0.9954,3.14,0.58,9.8,6
id1715,red,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
id1716,red,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5
id1717,white,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
id1718,red,10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7
id1719,white,6,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5
id1720,white,5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7
id1721,white,6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,6
id1722,white,7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6
id1723,white,7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5
id1724,white,6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6
id1725,red,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
id1726,white,5.9,0.17,0.29,3.1,0.03,32,123,0.98913,3.41,0.33,13.7,7
id1727,white,7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7
id1728,red,7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5
id1729,white,6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,6
id1730,red,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6
id1731,white,6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,5
id1732,red,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
id1733,white,6.3,0.21,0.33,13.9,0.046,68,179,0.9971,3.36,0.5,10.4,6
id1734,white,6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,4
id1735,red,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5
id1736,red,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6
id1737,white,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
id1738,white,6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,6
id1739,white,6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,4
id1740,white,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5
id1741,white,4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,7
id1742,white,6.2,0.41,0.22,1.9,0.023,5,56,0.98928,3.04,0.79,13,7
id1743,white,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5
id1744,white,9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7
id1745,red,8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,7
id1746,white,5,0.31,0,6.4,0.046,43,166,0.994,3.3,0.63,9.9,6
id1747,white,7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7
id1748,red,7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5
id1749,red,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4
id1750,white,6.6,0.41,0.31,1.6,0.042,18,101,0.99195,3.13,0.41,10.5,5
id1751,white,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,7
id1752,red,8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6
id1753,white,5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6
id1754,white,9.4,0.42,0.32,6.5,0.027,20,167,0.99479,3.08,0.43,10.6,5
id1755,white,6.7,0.26,0.29,7.1,0.036,28,100,0.99534,3.08,0.36,9.3,6
id1756,white,5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5
id1757,red,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6
id1758,white,6.1,0.32,0.33,10.7,0.036,27,98,0.99521,3.34,0.52,10.2,6
id1759,white,6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7
id1760,red,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5
id1761,white,8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,6
id1762,white,7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6
id1763,white,6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,6
id1764,red,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
id1765,red,6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6
id1766,white,8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,7
id1767,white,5.9,0.25,0.27,1.5,0.029,37,81,0.9892,3.2,0.46,12.2,6
id1768,white,6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,7
id1769,red,6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,6
id1770,white,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
id1771,white,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5
id1772,white,7.9,0.28,0.49,7.7,0.045,48,195,0.9954,3.04,0.55,11,6
id1773,red,7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5
id1774,white,8,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10,5
id1775,white,6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5
id1776,white,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333333,6
id1777,red,8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6
id1778,white,5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
id1779,white,5.9,0.54,0,0.8,0.032,12,82,0.99286,3.25,0.36,8.8,5
id1780,white,5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5
id1781,red,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
id1782,white,4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,6
id1783,white,6.5,0.21,0.35,5.7,0.043,47,197,0.99392,3.24,0.5,10.1,6
id1784,white,7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7
id1785,red,9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,5
id1786,white,7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7
id1787,white,6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5
id1788,red,7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5
id1789,red,8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7
id1790,white,5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,5
id1791,white,7.8,0.15,0.34,1.1,0.035,31,93,0.99096,3.07,0.72,11.3,7
id1792,white,6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,5
id1793,white,6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,7
id1794,white,6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,5
id1795,white,6.9,0.56,0.26,10.9,0.06,55,193,0.9969,3.21,0.44,9.4,5
id1796,white,9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5
id1797,red,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
id1798,white,5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4
id1799,white,6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,7
id1800,white,8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5
id1801,white,6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,7
id1802,white,6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,7
id1803,white,6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7
id1804,white,7.2,0.2,0.36,2.5,0.028,22,157,0.9938,3.48,0.49,10.6,6
id1805,white,7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,6
id1806,white,7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,6
id1807,white,8.9,0.21,0.34,7.1,0.037,33,150,0.9962,3.1,0.45,9.7,6
id1808,red,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
id1809,white,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5
id1810,white,5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,6
id1811,white,7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6
id1812,white,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
id1813,red,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5
id1814,red,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
id1815,red,7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,6
id1816,red,8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,6
id1817,white,7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6
id1818,white,6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
id1819,white,5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,5
id1820,red,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
id1821,red,7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
id1822,white,7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6
id1823,white,5.5,0.32,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,11.5,7
id1824,white,6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6
id1825,white,5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,7
id1826,white,5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6
id1827,red,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
id1828,white,6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6
id1829,white,6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6
id1830,white,6.9,0.38,0.28,8.3,0.062,22,166,0.99506,3.16,0.72,10.6,5
id1831,white,7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6,6
id1832,white,7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6
id1833,white,6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,5
id1834,white,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
id1835,white,6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
id1836,white,6.1,0.28,0.22,1.8,0.034,32,116,0.9898,3.36,0.44,12.6,6
id1837,white,7.5,0.35,0.37,2.5,0.066,29,89,0.98964,3.14,0.42,12.7,6
id1838,white,5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6
id1839,white,6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6
id1840,red,8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,3
id1841,white,6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,7
id1842,white,8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,4
id1843,white,6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5
id1844,white,8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7
id1845,white,6.1,0.255,0.44,12.3,0.045,53,197,0.9967,3.24,0.54,9.5,6
id1846,white,7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5
id1847,white,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,6
id1848,white,8.2,0.32,0.26,2.1,0.062,26,87,0.98974,3.1,0.47,12.8,6
id1849,red,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
id1850,red,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
id1851,white,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7
id1852,red,9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,7
id1853,white,9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4
id1854,red,7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5
id1855,white,6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6
id1856,white,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6
id1857,white,7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5
id1858,white,6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5
id1859,white,6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
id1860,white,7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6
id1861,white,7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,7
id1862,white,6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7
id1863,white,7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6
id1864,white,5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,6
id1865,white,6.6,0.33,0.32,15.6,0.054,62,227,0.99734,3.25,0.56,10.4,5
id1866,white,5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
id1867,white,7.1,0.25,0.31,2.3,0.05,32,156,0.9914,3.14,0.51,11.4,6
id1868,red,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
id1869,red,6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,7
id1870,white,8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1,5
id1871,white,7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,6
id1872,white,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8
id1873,white,7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
id1874,white,6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5
id1875,red,7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5
id1876,red,10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6
id1877,white,6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5
id1878,white,7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,4
id1879,red,12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,5
id1880,red,6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6
id1881,red,8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5
id1882,white,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
